id,name_ja,move_index,move_ja,move_ko,move_en,move_zh_hans,move_zh_hant,url_ja
98,タロットモン,2,アルカナシールド,아르카나 쉴드,Arcana Shield,阿尔卡那之盾,阿爾克那之盾,https://digimon.net/appmon/detail.php?id=98
99,コーデモン,1,メタモルコーデ,메타모르 코디,Metamorcode,焕然衣新,變身穿搭,https://digimon.net/appmon/detail.php?id=99
99,コーデモン,2,フィッティングアロー,피팅 애로,Arranging Arrow,试衣箭,配件箭矢,https://digimon.net/appmon/detail.php?id=99
100,メディアモン,1,バーチャルバース,버추얼 버스,Virtual Vision,虚拟宇宙,虛擬詩篇,https://digimon.net/appmon/detail.php?id=100
100,メディアモン,2,ハウリングブラスト,하울링 블래스트,Howling Blast,爆裂啸叫,怒嚎衝擊,https://digimon.net/appmon/detail.php?id=100
101,ベガスモン,1,クイーンウィール,퀸 휠,Queen Wheel,女王轮盘,皇后輪盤,https://digimon.net/appmon/detail.php?id=101
101,ベガスモン,2,ビッグゲーム,빅 게임,Big Game,乾坤一掷,重大賭局,https://digimon.net/appmon/detail.php?id=101
102,ドリーモン,1,ノンレムパペット,논렘 퍼핏,Non-REM Puppet,无梦玩偶,非快速動眼人偶,https://digimon.net/appmon/detail.php?id=102
102,ドリーモン,2,ドリームシアター,드림 시어터,Oniric Theater,梦幻大舞台,夢境劇場,https://digimon.net/appmon/detail.php?id=102
103,メディックモン,1,ワンオペレーション,원 오퍼레이션,Master Operator,单刀上台,單人手術,https://digimon.net/appmon/detail.php?id=103
103,メディックモン,2,ワンダーメディシン,원더 메디신,Wonder Medicine,神奇药丸,奇蹟醫藥品,https://digimon.net/appmon/detail.php?id=103
104,ドクモン,1,スパイラルトリガー,스파이럴 트리거,Spiral Trigger,螺旋激活,連鎖引爆,https://digimon.net/appmon/detail.php?id=104
104,ドクモン,2,マッドネスシリンジ,매드니스 시린지,Madness Syringe,癫狂注射器,瘋狂注射,https://digimon.net/appmon/detail.php?id=104
105,コンサルモン,1,スリフトアンサー,스리프트 앤서,Cash Saver,省钱之道,節儉答案,https://digimon.net/appmon/detail.php?id=105
105,コンサルモン,2,オクトパラース,옥토파라스,Octoplus,八方守护,節能章魚爪,https://digimon.net/appmon/detail.php?id=105
106,ライブラモン,1,バーバルジェイル,버벌 제일,Verbal Jail,文字狱,語言監獄,https://digimon.net/appmon/detail.php?id=106
106,ライブラモン,2,デビルズコデックス,데빌스 코덱스,Devil's Codex,恶魔古典,惡魔抄本,https://digimon.net/appmon/detail.php?id=106
107,グローブモン,1,アルティメットサーチ,얼티미트 서치,Ultimate Search,终极检索,終極搜索,https://digimon.net/appmon/detail.php?id=107
107,グローブモン,2,グランツゲイザー,글란즈 게이저,Clear Gaze,炫光凝视,閃耀監視,https://digimon.net/appmon/detail.php?id=107
107,グローブモン,3,シュベルトカッター,슈베르트 커터,Cutting Edge,灭刃神光,刀劍切割,https://digimon.net/appmon/detail.php?id=107
108,カリスモン,1,ゼーレゲヴァルト,제레 게발트,Soul Control,灵魂掌控,靈魂支配,https://digimon.net/appmon/detail.php?id=108
108,カリスモン,2,アルフ＝アイン,알레프=아인,Mind Overwrite,无尽起源,外星人視線,https://digimon.net/appmon/detail.php?id=108
109,ダメダモン,1,もうダメだ～,이제 안 돼~,It's Hopeless,我不行了~,已經不行啦～,https://digimon.net/appmon/detail.php?id=109
109,ダメダモン,2,ダメダメージ,안 돼 대미지,Damage Control,刮痧式伤害,無能攻擊,https://digimon.net/appmon/detail.php?id=109
110,サテラモン,1,コズミックレイダー,코즈믹 레이더,Cosmic Raider,星际侵略者,宇宙入侵者,https://digimon.net/appmon/detail.php?id=110
110,サテラモン,2,レインボーアサルト,레인보우 어썰트,Rainbow Assault,彩虹突袭,彩虹襲擊,https://digimon.net/appmon/detail.php?id=110
111,コメットモン,1,メテオレイン,미티어 레인,Meteor Rain,陨石雨,隕石彈雨,https://digimon.net/appmon/detail.php?id=111
111,コメットモン,2,ギガントエルガー,기간트 애르거,Giant Rage,巨人的愤怒,巨人之怒,https://digimon.net/appmon/detail.php?id=111
112,ブートモン,1,パワーブート,파워 부팅,Power Boot,力量增幅,強力啟動,https://digimon.net/appmon/detail.php?id=112
112,ブートモン,2,ナックルソル,너클 솔,Sun Knuckle,太阳怒拳,太陽神拳,https://digimon.net/appmon/detail.php?id=112
113,シャットモン,1,シザーズブラック,시저스 블랙,Grim Scissors,漆黑剪刀,暗黑剪刀,https://digimon.net/appmon/detail.php?id=113
113,シャットモン,2,ルーナインパルス,루나 임펄스,Lunar Impulse,月光脉冲,月神脈衝,https://digimon.net/appmon/detail.php?id=113
114,フェイクモン,1,イミテーションノイズ,이미테이션 노이즈,Imitation Noise,伪劣杂音,仿聲雜音,https://digimon.net/appmon/detail.php?id=114
114,フェイクモン,2,クラウンマスク,클라운 마스크,Clown Mask,小丑面具,小丑面具,https://digimon.net/appmon/detail.php?id=114
115,リバイブモン,1,ヴンダーゲネシス,분더 게네시스,Wonder Genesis,创世奇迹,救贖光線,https://digimon.net/appmon/detail.php?id=115
115,リバイブモン,2,セイバーシュトラール,세이버 슈트랄,Saving Beam,救世光束,見證奇蹟,https://digimon.net/appmon/detail.php?id=115
116,ワルダモン,1,デーモンアルム,데몬 암,Demon Arm,恶魔的臂弯,惡魔武裝兵,https://digimon.net/appmon/detail.php?id=116
116,ワルダモン,2,ザータンムント,자탄 문트,Evil Mouth,撒旦的血口,撒旦支配,https://digimon.net/appmon/detail.php?id=116
117,オウジャモン,1,ゴールデンファング,골든 팡,Golden Fang,黄金獠牙,黃金獠牙,https://digimon.net/appmon/detail.php?id=117
117,オウジャモン,2,フレイムストレート,프레임 스트레이트,Straight Flame,爆炎直拳,烈焰直拳,https://digimon.net/appmon/detail.php?id=117
118,エンタモン,1,ハッピーファントム,해피 팬텀,Phantom Joy,欢乐魅影,歡樂幻影,https://digimon.net/appmon/detail.php?id=118
118,エンタモン,2,ポルテメロス,포르테 멜로스,Mystical Melody,梅勒斯的乐章,樂譜新世界,https://digimon.net/appmon/detail.php?id=118
119,バイオモン,1,ドクトルメス,닥터 메스,Scalpel Wizard,柳叶刀,醫用手術刀,https://digimon.net/appmon/detail.php?id=119
119,バイオモン,2,ナーデルブレイズ,나델 블레이즈,Needle Blaze,火焰针,火焰注射,https://digimon.net/appmon/detail.php?id=119
120,ビューティモン,1,ローザフェニクス,로사 피닉스,Rosa Phoenix,蔷薇不死鸟,薔薇不死鳥,https://digimon.net/appmon/detail.php?id=120
120,ビューティモン,2,ヴィーナスロッド,비너스 로드,Venus Rod,维纳斯之杖,維納斯之杖,https://digimon.net/appmon/detail.php?id=120
120,ビューティモン,3,ウィングパクト,윙 팩트,Wing Pact,羽翼之盟,協議之翼,https://digimon.net/appmon/detail.php?id=120
121,リブートモン,1,レフィシオール,레피시올,Reficior,再造重建,重建,https://digimon.net/appmon/detail.php?id=121
121,リブートモン,2,ホライゾンタルフレア,호라이즌탈 플레어,Horizontal Flare,坦荡光焰,水平閃焰,https://digimon.net/appmon/detail.php?id=121
121,リブートモン,3,エクリプスイレイザー,이클립스 이레이저,Eclipse Eraser,重见天日,侵蝕消除者,https://digimon.net/appmon/detail.php?id=121
122,ガイアモン,1,イマジンマール,이매진 마르,Divine Sense,想象之环,想像噴發,https://digimon.net/appmon/detail.php?id=122
122,ガイアモン,2,アルティメットアダマス,얼티미트 아다마스,Ultimate Adamas,终极精钢,終極金剛岩,https://digimon.net/appmon/detail.php?id=122
123,ハデスモン,1,ヘル・カキア,헬 카키아,Hell Kakia,恶德地狱,地獄惡戲,https://digimon.net/appmon/detail.php?id=123
123,ハデスモン,2,メランエクスプロード,멜란 익스플로드,Melan-Explode,黑暗爆炸,暗黑爆破,https://digimon.net/appmon/detail.php?id=123
124,ポセイドモン,1,トライデント・フォール,트라이던트 폴,Trident Fall,坠落神戟,三叉戟落擊,https://digimon.net/appmon/detail.php?id=124
124,ポセイドモン,2,海帝掌打,해제장타,Godly Palm Strike,海帝掌打,海帝掌擊,https://digimon.net/appmon/detail.php?id=124
125,ウラノスモン,1,ハロー・ハロー,할로 할로,Halo-Halo,神耀光环,光輪,https://digimon.net/appmon/detail.php?id=125
125,ウラノスモン,2,アストラルイラプション,아스트랄 이럽션,Astral Eruption,幽星迸射,星雲噴發,https://digimon.net/appmon/detail.php?id=125
126,デウスモン,1,コード：オリジン,코드: 오리진,Code: Origin,代码：起源,代碼：起源,https://digimon.net/appmon/detail.php?id=126
126,デウスモン,2,イニシャル・ゼロ,이니셜 제로,Initial Zero,头文字0,零之字首,https://digimon.net/appmon/detail.php?id=126
127,タップモン(ソーシャル),1,スピンシュート,스핀 슛,Spin Shoot,回旋弹射,迴旋投射,https://digimon.net/appmon/detail.php?id=127
128,タップモン(ナビ),1,スピンシュート,스핀 슛,Spin Shoot,回旋弹射,迴旋投射,https://digimon.net/appmon/detail.php?id=128
129,タップモン(ツール),1,スピンシュート,스핀 슛,Spin Shoot,回旋弹射,迴旋投射,https://digimon.net/appmon/detail.php?id=129
130,タップモン(システム),1,スピンシュート,스핀 슛,Spin Shoot,回旋弹射,迴旋投射,https://digimon.net/appmon/detail.php?id=130
131,タップモン(ゲーム),1,スピンシュート,스핀 슛,Spin Shoot,回旋弹射,迴旋投射,https://digimon.net/appmon/detail.php?id=131
132,タップモン(エンタメ),1,スピンシュート,스핀 슛,Spin Shoot,回旋弹射,迴旋投射,https://digimon.net/appmon/detail.php?id=132
133,タップモン(ライフ),1,スピンシュート,스핀 슛,Spin Shoot,回旋弹射,迴旋投射,https://digimon.net/appmon/detail.php?id=133
134,フリックモン(ソーシャル),1,みみだまし,귀로 속이기,Ear Trick,虚晃一耳,甩耳騙局,https://digimon.net/appmon/detail.php?id=134
135,フリックモン(ナビ),1,みみだまし,귀로 속이기,Ear Trick,虚晃一耳,甩耳騙局,https://digimon.net/appmon/detail.php?id=135
136,フリックモン(ツール),1,みみだまし,귀로 속이기,Ear Trick,虚晃一耳,甩耳騙局,https://digimon.net/appmon/detail.php?id=136
137,フリックモン(システム),1,みみだまし,귀로 속이기,Ear Trick,虚晃一耳,甩耳騙局,https://digimon.net/appmon/detail.php?id=137
138,フリックモン(ゲーム),1,みみだまし,귀로 속이기,Ear Trick,虚晃一耳,甩耳騙局,https://digimon.net/appmon/detail.php?id=138
139,フリックモン(エンタメ),1,みみだまし,귀로 속이기,Ear Trick,虚晃一耳,甩耳騙局,https://digimon.net/appmon/detail.php?id=139
140,フリックモン(ライフ),1,みみだまし,귀로 속이기,Ear Trick,虚晃一耳,甩耳騙局,https://digimon.net/appmon/detail.php?id=140
141,スワイプモン(ソーシャル),1,ボディスピアー,보디 스피어,Body Spear,旋身突贯,衝撞矛釘,https://digimon.net/appmon/detail.php?id=141
142,スワイプモン(ナビ),1,ボディスピアー,보디 스피어,Body Spear,旋身突贯,衝撞矛釘,https://digimon.net/appmon/detail.php?id=142
143,スワイプモン(ツール),1,ボディスピアー,보디 스피어,Body Spear,旋身突贯,衝撞矛釘,https://digimon.net/appmon/detail.php?id=143
144,スワイプモン(システム),1,ボディスピアー,보디 스피어,Body Spear,旋身突贯,衝撞矛釘,https://digimon.net/appmon/detail.php?id=144
145,スワイプモン(ゲーム),1,ボディスピアー,보디 스피어,Body Spear,旋身突贯,衝撞矛釘,https://digimon.net/appmon/detail.php?id=145
146,スワイプモン(エンタメ),1,ボディスピアー,보디 스피어,Body Spear,旋身突贯,衝撞矛釘,https://digimon.net/appmon/detail.php?id=146
147,スワイプモン(ライフ),1,ボディスピアー,보디 스피어,Body Spear,旋身突贯,衝撞矛釘,https://digimon.net/appmon/detail.php?id=147
148,ダンテモン,1,断鉄剣（だんてつけん）,단철검,Dantetsuken,断铁剑,斷鐵劍,https://digimon.net/appmon/detail.php?id=148
148,ダンテモン,2,戸締用心(とじまりようじん),호체용심,Tojimariyoujin,户缔用心,戸締用心（小心門戶）,https://digimon.net/appmon/detail.php?id=148
