char,codepoint,script,species_occurrences,technique_occurrences,total_occurrences,examples
Ｅ,U+FF25,Other,0,3,3,technique:610:トライデントアームＶＥＲ９.９ | technique:993:ガイアフォースＺＥＲＯ | technique:1713:ＬＯＶＥＹＯＵ
Ｏ,U+FF2F,Other,0,3,3,technique:993:ガイアフォースＺＥＲＯ | technique:1713:ＬＯＶＥＹＯＵ | technique:1713:ＬＯＶＥＹＯＵ
Ｒ,U+FF32,Other,0,3,3,technique:610:トライデントアームＶＥＲ９.９ | technique:868:ＲＧＢハーブ | technique:993:ガイアフォースＺＥＲＯ
Ω,U+03A9,Other,0,2,2,technique:886:シザーアームズΩ３^３ | technique:1923:シザーアームズΩ
∞,U+221E,Other,0,2,2,technique:1499:∞（ムゲン）キャノン | technique:1912:スカイロケット∞（ムゲン）
三,U+4E09,Han,0,2,2,technique:551:三連星 | technique:1864:第三曲≪カノン≫
上,U+4E0A,Han,0,2,2,technique:2489:上下上下右右左左XY | technique:2489:上下上下右右左左XY
下,U+4E0B,Han,0,2,2,technique:2489:上下上下右右左左XY | technique:2489:上下上下右右左左XY
世,U+4E16,Han,0,2,2,technique:1057:世堀クロードリル（よぼりクロードリル） | technique:1678:永世竜王刃（えいせいりゅうおうじん）
両,U+4E21,Han,0,2,2,technique:1388:一刀両断（イットウリョウダン） | technique:1660:覇王両断剣
伍,U+4F0D,Han,0,2,2,technique:336:伍連断霊斬（ごれんだんれいざん） | technique:337:伍重螺旋断（ごじゅうらせんだち）
修,U+4FEE,Han,0,2,2,technique:1728:自己修復 | technique:1954:阿修羅神拳（あしゅらしんけん）
六,U+516D,Han,0,2,2,technique:51:六合照徹閃（りくごうしょうてつせん） | technique:190:封神六蓮華
冥,U+51A5,Han,0,2,2,technique:303:晦冥葬 | technique:1585:呼応冥軍（こおうめいぐん）
冰,U+51B0,Han,0,2,2,technique:389:冰乱結突（ひょうらんけっとつ） | technique:396:冰凍爪（ひょうとうそう）
凍,U+51CD,Han,0,2,2,technique:14:凍烈檮牙(とうれつとうが) | technique:396:冰凍爪（ひょうとうそう）
割,U+5272,Han,0,2,2,technique:78:唐竹割り | technique:1222:星割り
力,U+529B,Han,0,2,2,technique:1145:超力鳴動破（チョウリキメイドウハ） | technique:1146:魔重力呪縛陣（まじゅうりょくじゅばくじん）
動,U+52D5,Han,0,2,2,technique:1145:超力鳴動破（チョウリキメイドウハ） | technique:1854:改心の波動
十,U+5341,Han,0,2,2,technique:1327:ロート・クロイツ（赤十字架） | technique:1621:十文字斬り
博,U+535A,Han,2,0,2,species:1205:ニセアグモン博士 | species:1252:アグモン博士
厳,U+53B3,Han,1,1,2,species:237:ガイオウモン：厳刀ノ型 | technique:50:厳之御魂（いづのみたま）
双,U+53CC,Han,0,2,2,technique:189:斬砍双刃撃 | technique:1472:無双天翔翼之陣（むそうてんしょうよくのじん）
右,U+53F3,Han,0,2,2,technique:2489:上下上下右右左左XY | technique:2489:上下上下右右左左XY
合,U+5408,Han,0,2,2,technique:51:六合照徹閃（りくごうしょうてつせん） | technique:2159:居合刃（いあいじん）
吐,U+5410,Han,0,2,2,technique:115:穢吐餓(えとが) | technique:2290:熱い吐息
呪,U+546A,Han,0,2,2,technique:1146:魔重力呪縛陣（まじゅうりょくじゅばくじん） | technique:1837:呪禁札（じゅごんさつ）
呼,U+547C,Han,0,2,2,technique:105:呼雲（こうん） | technique:1585:呼応冥軍（こおうめいぐん）
哮,U+54EE,Han,0,2,2,technique:252:招来・哮天犬 | technique:1806:清々之咆哮（せいせいのほうこう）
善,U+5584,Han,2,0,2,species:376:ケルビモン（善）（X抗体） | species:812:ケルビモン（善）
土,U+571F,Han,0,2,2,technique:89:石土之体（いしづちのてい） | technique:407:千砲土蜘蛛（せんほうつちぐも）
塵,U+5875,Han,0,2,2,technique:126:千塵鬼神斬（せんじんきしんざん） | technique:406:魔塵瓢箪（まじんびょうたん）
壊,U+58CA,Han,0,2,2,technique:285:凶旋壊（きょうせんかい） | technique:393:天星壊海（てんせいかいかい）
変,U+5909,Han,0,2,2,technique:2150:狐変虚（こへんきょ） | technique:2283:変身
女,U+5973,Han,2,0,2,species:453:クズハモン：巫女モード | species:806:サクヤモン：巫女モード
妖,U+5996,Han,0,2,2,technique:1883:降妖杖・渦紋の陣（かもんのじん） | technique:1884:降妖杖・滝の陣（たきのじん）
封,U+5C01,Han,0,2,2,technique:190:封神六蓮華 | technique:1378:ブロッケイドシード（封じ込めの種）
左,U+5DE6,Han,0,2,2,technique:2489:上下上下右右左左XY | technique:2489:上下上下右右左左XY
巫,U+5DEB,Han,2,0,2,species:453:クズハモン：巫女モード | species:806:サクヤモン：巫女モード
帯,U+5E2F,Han,0,2,2,technique:1894:超帯電雷光砲（ちょうたいでんらいこうほう） | technique:2296:熱気を帯びた泡
廻,U+5EFB,Han,0,2,2,technique:659:迅雷廻天戟（じんらいかいてんげき） | technique:1535:黄廻（おうかい）
張,U+5F35,Han,0,2,2,technique:819:鉄ゲタ張り手 | technique:2484:ジェット張手
強,U+5F37,Han,0,2,2,technique:1144:強羅打雷銃（ゴウラダライガン） | technique:1848:強振砲舞乱（きょうしんホームラン）
当,U+5F53,Han,0,2,2,technique:833:石敢当（せっかんとう） | technique:2103:当身返し
戟,U+621F,Han,0,2,2,technique:227:爆迅炎戟破 | technique:659:迅雷廻天戟（じんらいかいてんげき）
技,U+6280,Han,0,2,2,technique:818:究極戦技天仰拳 | technique:1892:秘技・夢現影（ひぎ・むげんえい）
投,U+6295,Han,0,2,2,technique:583:ウンチ投げ | technique:2137:イガ流手裏剣投げ
振,U+632F,Han,0,2,2,technique:84:小判振舞い | technique:1848:強振砲舞乱（きょうしんホームラン）
掌,U+638C,Han,0,2,2,technique:1609:悟遍路掌（さとりへんろしょう） | technique:2548:海帝掌打
改,U+6539,Han,0,2,2,technique:539:ホーンバスター改 | technique:1854:改心の波動
攻,U+653B,Han,0,2,2,technique:96:猿攻回転弾（えんこうかいてんだん） | technique:1546:特攻漢弾（ぶっこみおとこだま）
敗,U+6557,Han,0,2,2,technique:1617:轍剣成敗（てっけんせいばい） | technique:2458:失敗しちゃった
斗,U+6597,Han,0,2,2,technique:1895:觔斗雲（きんとうん） | technique:2042:巌兎烈斗（ガントレット）
暗,U+6697,Han,0,2,2,technique:900:暗黒のガイアフォース | technique:1740:暗黒(ダークネスゾーン)
曼,U+66FC,Han,0,2,2,technique:987:胎蔵界曼荼羅（たいぞうかいまんだら） | technique:999:金剛界曼荼羅（こんごうかいまんだら）
杖,U+6756,Han,0,2,2,technique:1883:降妖杖・渦紋の陣（かもんのじん） | technique:1884:降妖杖・滝の陣（たきのじん）
桜,U+685C,Han,0,2,2,technique:781:天晴れ桜 | technique:1454:桜吹雪
棒,U+68D2,Han,0,2,2,technique:2105:棒陣破（ぼうじんは） | technique:2488:愛の入魂金棒
橙,U+6A59,Han,2,0,2,species:454:メガログラウモン（橙） | species:487:グラウモン（橙）
正,U+6B63,Han,0,2,2,technique:8:麁正（あらまさ） | technique:2176:小熊正拳突き
毒,U+6BD2,Han,0,2,2,technique:1150:腐毒爪 | technique:2268:毒の泡
永,U+6C38,Han,0,2,2,technique:441:豪怨毀永斬（ごうおんきえいざん） | technique:1678:永世竜王刃（えいせいりゅうおうじん）
渦,U+6E26,Han,0,2,2,technique:1883:降妖杖・渦紋の陣（かもんのじん） | technique:1890:渦紋の陣（かもんのじん）
滅,U+6EC5,Han,0,2,2,technique:803:聖拳滅破 | technique:1640:ルーインブラスト(破滅の爆薬)
滝,U+6EDD,Han,0,2,2,technique:1884:降妖杖・滝の陣（たきのじん） | technique:1891:滝の陣（たきのじん）
激,U+6FC0,Han,1,1,2,species:416:ラセンモン：激昂モード | technique:1643:激・氷月牙（げき ひょうげつが）
濤,U+6FE4,Han,0,2,2,technique:169:波濤深槍（はとうしんそう） | technique:191:浪濤扇（ろうとうせん）
災,U+707D,Han,0,2,2,technique:65:断災達磨落とし（だんさいだるまおとし） | technique:438:禍災爪（かさいそう）
焼,U+713C,Han,0,2,2,technique:403:羅焼門（らしょうもん） | technique:1850:豚ノ丸焼（ぶたのまるやき）
熱,U+71B1,Han,0,2,2,technique:2290:熱い吐息 | technique:2296:熱気を帯びた泡
物,U+7269,Han,0,2,2,technique:176:武獲物語（たけとりものがたり） | technique:635:植物性の泡
狼,U+72FC,Han,1,1,2,species:486:ケルベロモン：人狼モード | technique:1642:獣狼大回転（じゅうろうだいかいてん)
玉,U+7389,Han,0,2,2,technique:1981:焔玉（ほむらだま） | technique:2114:鬼火玉（おにびだま）
球,U+7403,Han,0,2,2,technique:832:胡劉球（こりゅうきゅう） | technique:1991:肉球パンチ
甲,U+7532,Han,0,2,2,technique:1838:鬼門遁甲（きもんとんこう） | technique:2106:徹甲刃（てっこうじん）
界,U+754C,Han,0,2,2,technique:987:胎蔵界曼荼羅（たいぞうかいまんだら） | technique:999:金剛界曼荼羅（こんごうかいまんだら）
疾,U+75BE,Han,0,2,2,technique:1852:疾風天翔剣（しっぷうてんしょうけん） | technique:1893:疾風迅雷撃（しっぷうじんらいげき）
相,U+76F8,Han,0,2,2,technique:291:鉄壁相（てっぺきのそう） | technique:292:献身相（けんしんのそう）
瞬,U+77AC,Han,0,2,2,technique:585:鬼瞬轟拳（きしゅんごうけん） | technique:1177:瞬索敵（しゅんさくてき）
磨,U+78E8,Han,0,2,2,technique:64:猛進火達磨（もうしんひだるま） | technique:65:断災達磨落とし（だんさいだるまおとし）
祓,U+7953,Han,0,2,2,technique:63:魔祓灼光（まふつのしゃっこう） | technique:219:海神之祓（わだつみのはらえ）
禍,U+798D,Han,0,2,2,technique:390:潮流旋禍（ちょうりゅうせんか） | technique:438:禍災爪（かさいそう）
竹,U+7AF9,Han,0,2,2,technique:78:唐竹割り | technique:1119:打竹落し（うちたけおとし）
粒,U+7C92,Han,0,2,2,technique:1639:ギュプト粒子砲 | technique:2294:小さな鉄粒
粘,U+7C98,Han,0,2,2,technique:91:粘溶液（ねんようえき） | technique:154:粘着性の泡
紋,U+7D0B,Han,0,2,2,technique:1883:降妖杖・渦紋の陣（かもんのじん） | technique:1890:渦紋の陣（かもんのじん）
索,U+7D22,Han,0,2,2,technique:1134:索敵 | technique:1177:瞬索敵（しゅんさくてき）
終,U+7D42,Han,0,2,2,technique:136:終ノ斬・哭雨（ついのざん・こくう） | technique:280:終極戦刃建御雷神（シュウキョクセンジンタケミカヅチ）
絆,U+7D46,Han,2,0,2,species:345:ガブモン -友情の絆- | species:346:アグモン -勇気の絆-
綱,U+7DB1,Han,0,2,2,technique:986:裏飯綱（うらいづな） | technique:1622:飯綱（いづな）
緑,U+7DD1,Han,2,0,2,species:655:プッチーモン（緑） | species:1128:コアドラモン（緑）
繰,U+7E70,Han,0,2,2,technique:178:骸繰艶舞・鉢かづき | technique:1789:武舞独繰
翔,U+7FD4,Han,0,2,2,technique:1472:無双天翔翼之陣（むそうてんしょうよくのじん） | technique:1852:疾風天翔剣（しっぷうてんしょうけん）
胡,U+80E1,Han,0,2,2,technique:832:胡劉球（こりゅうきゅう） | technique:1888:胡蝶夢経（こちょうむきょう）
花,U+82B1,Han,0,2,2,technique:613:雪花火 | technique:1000:此ノ花戦姫万象（このはなせんきばんしょう）
荼,U+837C,Han,0,2,2,technique:987:胎蔵界曼荼羅（たいぞうかいまんだら） | technique:999:金剛界曼荼羅（こんごうかいまんだら）
華,U+83EF,Han,0,2,2,technique:190:封神六蓮華 | technique:548:刀華静謐（とうかせいひつ）
蒼,U+84BC,Han,0,2,2,technique:193:蒼纏龍神牙（そうてんりゅうじんが） | technique:1578:蒼雷（そうらい）
蓮,U+84EE,Han,0,2,2,technique:190:封神六蓮華 | technique:1804:紅蓮獣王波（ぐれんじゅうおうは）
虚,U+865A,Han,0,2,2,technique:287:渾沌亜空虚（こんとんあくうきょ） | technique:2150:狐変虚（こへんきょ）
蛛,U+86DB,Han,0,2,2,technique:407:千砲土蜘蛛（せんほうつちぐも） | technique:1610:霊光蜘蛛之糸（れいこうくものいと）
蜂,U+8702,Han,0,2,2,technique:448:突蜂（覚醒）　（とっほう） | technique:1036:突蜂（とっほう）
蜘,U+8718,Han,0,2,2,technique:407:千砲土蜘蛛（せんほうつちぐも） | technique:1610:霊光蜘蛛之糸（れいこうくものいと）
詰,U+8A70,Han,0,2,2,technique:446:白詰一文字切り（覚醒） | technique:1034:白詰一文字切り
象,U+8C61,Han,0,2,2,technique:235:万象逸貫 | technique:1000:此ノ花戦姫万象（このはなせんきばんしょう）
貫,U+8CAB,Han,0,2,2,technique:235:万象逸貫 | technique:2109:銀角突貫（ぎんかくとっかん）
足,U+8DB3,Han,0,2,2,technique:2169:逃げ足猛ダッシュ | technique:2191:逃げ足ダッシュ
転,U+8EE2,Han,0,2,2,technique:96:猿攻回転弾（えんこうかいてんだん） | technique:1642:獣狼大回転（じゅうろうだいかいてん)
輪,U+8F2A,Han,0,2,2,technique:74:日輪の舞 | technique:660:轟炎輪（ごうえんりん）
逃,U+9003,Han,0,2,2,technique:2169:逃げ足猛ダッシュ | technique:2191:逃げ足ダッシュ
遁,U+9041,Han,0,2,2,technique:599:擬遁アイソレーション（ぎとんあいそれーしょん） | technique:1838:鬼門遁甲（きもんとんこう）
達,U+9054,Han,0,2,2,technique:64:猛進火達磨（もうしんひだるま） | technique:65:断災達磨落とし（だんさいだるまおとし）
邪,U+90AA,Han,0,2,2,technique:720:邪念眼 | technique:1982:邪炎龍（じゃえんりゅう)
重,U+91CD,Han,0,2,2,technique:337:伍重螺旋断（ごじゅうらせんだち） | technique:1146:魔重力呪縛陣（まじゅうりょくじゅばくじん）
銀,U+9280,Han,0,2,2,technique:2109:銀角突貫（ぎんかくとっかん） | technique:2110:金銀雷鳴撃（きんぎんらいめいげき）
限,U+9650,Han,0,2,2,technique:1889:無限弾幕心経（むげんだんまくしんきょう） | technique:2175:無限ビンタ
隠,U+96A0,Han,0,2,2,technique:1245:霞隠 | technique:1246:葉隠
雪,U+96EA,Han,0,2,2,technique:613:雪花火 | technique:1454:桜吹雪
霊,U+970A,Han,0,2,2,technique:336:伍連断霊斬（ごれんだんれいざん） | technique:1610:霊光蜘蛛之糸（れいこうくものいと）
霧,U+9727,Han,0,2,2,technique:124:爆霧（ばくぎり） | technique:1616:霧幻（むげん）
静,U+9759,Han,0,2,2,technique:548:刀華静謐（とうかせいひつ） | technique:667:静電気
飯,U+98EF,Han,0,2,2,technique:986:裏飯綱（うらいづな） | technique:1622:飯綱（いづな）
駆,U+99C6,Han,0,2,2,technique:1968:駆駆裂空斬（くるくるれっくうざん） | technique:1968:駆駆裂空斬（くるくるれっくうざん）
骨,U+9AA8,Han,0,2,2,technique:1985:骨骨ブーメラン | technique:1985:骨骨ブーメラン
骸,U+9AB8,Han,0,2,2,technique:12:氷骸礫(ひょうがいれき) | technique:178:骸繰艶舞・鉢かづき
魚,U+9B5A,Han,0,2,2,technique:395:魚流炮（ぎょりゅうほう） | technique:1346:グレッチャートルペイド（氷河魚雷）
＆,U+FF06,Other,0,2,2,technique:38:クロスレッド＆ブルー | technique:2371:コピー＆ペースト
８,U+FF18,Other,0,2,2,technique:2181:８８コール（ハチハチコール） | technique:2181:８８コール（ハチハチコール）
９,U+FF19,Other,0,2,2,technique:610:トライデントアームＶＥＲ９.９ | technique:610:トライデントアームＶＥＲ９.９
＝,U+FF1D,Other,0,2,2,technique:2485:コマンド＝ハイパー | technique:2514:アルフ＝アイン
^,U+005E,Other,0,1,1,technique:886:シザーアームズΩ３^３
Σ,U+03A3,Other,0,1,1,technique:1006:ダブルエッジΣ（シグマ）
乗,U+4E57,Han,0,1,1,technique:288:斧乗炎怒（ふじょうえんど）
乾,U+4E7E,Han,0,1,1,technique:226:乾坤圏
亜,U+4E9C,Han,0,1,1,technique:287:渾沌亜空虚（こんとんあくうきょ）
人,U+4EBA,Han,1,0,1,species:486:ケルベロモン：人狼モード
付,U+4ED8,Han,0,1,1,technique:1014:噛み付き
仰,U+4EF0,Han,0,1,1,technique:818:究極戦技天仰拳
伐,U+4F10,Han,0,1,1,technique:439:叩破伐倒（こうはばっとう）
伝,U+4F1D,Han,0,1,1,technique:1544:護王流伝羅守（ごーるでんらっしゅ）
伸,U+4F38,Han,0,1,1,technique:2255:伸縮性のある泡
低,U+4F4E,Han,0,1,1,technique:1094:超低速一文字斬り
供,U+4F9B,Han,0,1,1,technique:1473:怒涛闇供喪之舞（どとうやみくものまい）
価,U+4FA1,Han,0,1,1,technique:2312:最悪の評価
倒,U+5012,Han,0,1,1,technique:439:叩破伐倒（こうはばっとう）
偃,U+5043,Han,0,1,1,technique:1641:黄獣偃月刀（きじゅうえんげつとう）
儀,U+5100,Han,0,1,1,technique:218:儀来四海招（にらいしかいしょう）
免,U+514D,Han,0,1,1,technique:1989:切り捨て御免
兎,U+514E,Han,0,1,1,technique:2042:巌兎烈斗（ガントレット）
兜,U+515C,Han,0,1,1,technique:2158:兜返し
入,U+5165,Han,0,1,1,technique:2488:愛の入魂金棒
円,U+5186,Han,0,1,1,technique:251:鷹尖円舞
冲,U+51B2,Han,0,1,1,technique:92:猛冲角（もうちゅうかく）
凶,U+51F6,Han,0,1,1,technique:285:凶旋壊（きょうせんかい）
分,U+5206,Han,0,1,1,technique:2093:コウガ流影分身
初,U+521D,Han,0,1,1,technique:179:初瀬のおもてなし
判,U+5224,Han,0,1,1,technique:84:小判振舞い
利,U+5229,Han,0,1,1,technique:344:舎利弗（しゃりほつ）
制,U+5236,Han,0,1,1,technique:1655:鉄拳制裁
刻,U+523B,Han,0,1,1,technique:286:咒煉衝刻（じゅれんしょうこく）
劈,U+5288,Han,0,1,1,technique:86:劈龍爪（へきりゅうそう）
劉,U+5289,Han,0,1,1,technique:832:胡劉球（こりゅうきゅう）
助,U+52A9,Han,1,0,1,species:351:テリアモン助手
勇,U+52C7,Han,1,0,1,species:346:アグモン -勇気の絆-
勢,U+52E2,Han,0,1,1,technique:645:二刀勢雷（にとうせいらい）
原,U+539F,Han,0,1,1,technique:2219:原色の舞い
参,U+53C2,Han,0,1,1,technique:1219:参の太刀
友,U+53CB,Han,1,0,1,species:345:ガブモン -友情の絆-
叢,U+53E2,Han,0,1,1,technique:134:豪ノ斬・叢時雨（ごうのざん・むらしぐれ）
叩,U+53E9,Han,0,1,1,technique:439:叩破伐倒（こうはばっとう）
召,U+53EC,Han,0,1,1,technique:647:神電召雷光（しんでんしょうらいこう）
叭,U+53ED,Han,0,1,1,technique:1790:蝶絶喇叭蹴（ちょうぜつらっぱしゅう）
台,U+53F0,Han,0,1,1,technique:1657:ちゃぶ台返し
吹,U+5439,Han,0,1,1,technique:1454:桜吹雪
吼,U+543C,Han,0,1,1,technique:97:金絲吼（きんしこう）
咆,U+5486,Han,0,1,1,technique:1806:清々之咆哮（せいせいのほうこう）
咒,U+5492,Han,0,1,1,technique:286:咒煉衝刻（じゅれんしょうこく）
咬,U+54AC,Han,0,1,1,technique:1590:咬竜斬刃（こうりゅうざんば）
哀,U+54C0,Han,0,1,1,technique:289:盾射轟哀（じゅんせきごうあい）
哭,U+54ED,Han,0,1,1,technique:136:終ノ斬・哭雨（ついのざん・こくう）
唐,U+5510,Han,0,1,1,technique:78:唐竹割り
喇,U+5587,Han,0,1,1,technique:1790:蝶絶喇叭蹴（ちょうぜつらっぱしゅう）
喪,U+55AA,Han,0,1,1,technique:1473:怒涛闇供喪之舞（どとうやみくものまい）
喰,U+55B0,Han,0,1,1,technique:587:喰雷炎砕破（がらいえんさいは）
噛,U+565B,Han,0,1,1,technique:1014:噛み付き
四,U+56DB,Han,0,1,1,technique:218:儀来四海招（にらいしかいしょう）
圏,U+570F,Han,0,1,1,technique:226:乾坤圏
地,U+5730,Han,0,1,1,technique:1656:地神！神鳴！神馳！親父！（じしん！かみなり！かじ！おやじ！）
坤,U+5764,Han,0,1,1,technique:226:乾坤圏
型,U+578B,Han,1,0,1,species:237:ガイオウモン：厳刀ノ型
堀,U+5800,Han,0,1,1,technique:1057:世堀クロードリル（よぼりクロードリル）
堕,U+5815,Han,0,1,1,technique:1149:獣王堕拳
墜,U+589C,Han,0,1,1,technique:201:墜月衝（ついげつしょう）
墨,U+58A8,Han,0,1,1,technique:2124:海鳴墨銃（かいめいぼくじゅう）
壁,U+58C1,Han,0,1,1,technique:291:鉄壁相（てっぺきのそう）
壱,U+58F1,Han,0,1,1,technique:1217:壱の太刀
夜,U+591C,Han,0,1,1,technique:177:月夜之迎（つきよのむかえ）
失,U+5931,Han,0,1,1,technique:2458:失敗しちゃった
姫,U+59EB,Han,0,1,1,technique:1000:此ノ花戦姫万象（このはなせんきばんしょう）
姿,U+59FF,Han,0,1,1,technique:1233:タイガータイフーン（真の姿時）
孤,U+5B64,Han,0,1,1,technique:388:孤籠泡（ころうほう）
宇,U+5B87,Han,0,1,1,technique:1001:宇迦之御魂（うかのみたま）
守,U+5B88,Han,0,1,1,technique:1544:護王流伝羅守（ごーるでんらっしゅ）
定,U+5B9A,Han,0,1,1,technique:1326:シュバルツ・レールザッツ（黒定理）
対,U+5BFE,Han,0,1,1,technique:1983:絶対零度パンチ
射,U+5C04,Han,0,1,1,technique:289:盾射轟哀（じゅんせきごうあい）
尊,U+5C0A,Han,0,1,1,technique:49:尊天大烈風（そんてんだいれっぷう）
尖,U+5C16,Han,0,1,1,technique:251:鷹尖円舞
居,U+5C45,Han,0,1,1,technique:2159:居合刃（いあいじん）
岩,U+5CA9,Han,0,1,1,technique:93:岩衝弾（がんしょうだん）
崩,U+5D29,Han,0,1,1,technique:13:轟蹄崩(ごうていほう)
嵐,U+5D50,Han,0,1,1,technique:167:窮牙嵐断襲(きゅうがらんだんしゅう)
巌,U+5DCC,Han,0,1,1,technique:2042:巌兎烈斗（ガントレット）
巨,U+5DE8,Han,0,1,1,technique:1727:巨大なクリスタル
己,U+5DF1,Han,0,1,1,technique:1728:自己修復
巻,U+5DFB,Han,0,1,1,technique:440:風牙烈巻迅（ふうがれっかんじん）
布,U+5E03,Han,0,1,1,technique:1063:甕布都神（ミカフツノカミ）
帝,U+5E1D,Han,0,1,1,technique:2548:海帝掌打
幕,U+5E55,Han,0,1,1,technique:1889:無限弾幕心経（むげんだんまくしんきょう）
年,U+5E74,Han,1,0,1,species:895:ヤタガラモン（2006年アニメ版）
幽,U+5E7D,Han,0,1,1,technique:404:幽玄（ゆうげん）
度,U+5EA6,Han,0,1,1,technique:1983:絶対零度パンチ
弐,U+5F10,Han,0,1,1,technique:1218:弐の太刀
弗,U+5F17,Han,0,1,1,technique:344:舎利弗（しゃりほつ）
得,U+5F97,Han,0,1,1,technique:1853:迅速の心得（じんそくのこころえ）
復,U+5FA9,Han,0,1,1,technique:1728:自己修復
応,U+5FDC,Han,0,1,1,technique:1585:呼応冥軍（こおうめいぐん）
念,U+5FF5,Han,0,1,1,technique:720:邪念眼
怠,U+6020,Han,0,1,1,technique:1611:怠条真言（たいじょうしんごん）
急,U+6025,Han,0,1,1,technique:582:急ブレーキスパーク
怨,U+6028,Han,0,1,1,technique:441:豪怨毀永斬（ごうおんきえいざん）
息,U+606F,Han,0,1,1,technique:2290:熱い吐息
情,U+60C5,Han,1,0,1,species:345:ガブモン -友情の絆-
愚,U+611A,Han,0,1,1,technique:722:愚幻
愛,U+611B,Han,0,1,1,technique:2488:愛の入魂金棒
戒,U+6212,Han,0,1,1,technique:55:八戒炎天撃（はっかいえんてんげき）
截,U+622A,Han,0,1,1,technique:202:蛾眉截波（がびせっぱ）
戸,U+6238,Han,0,1,1,technique:2557:戸締用心(とじまりようじん)
戻,U+623B,Han,0,1,1,technique:345:黄泉戻（よみもどし）
捨,U+6368,Han,0,1,1,technique:1989:切り捨て御免
摧,U+6467,Han,0,1,1,technique:279:鉄天摧砕
擬,U+64EC,Han,0,1,1,technique:599:擬遁アイソレーション（ぎとんあいそれーしょん）
敢,U+6562,Han,0,1,1,technique:833:石敢当（せっかんとう）
斉,U+6589,Han,0,1,1,technique:173:一斉砲撃
斧,U+65A7,Han,0,1,1,technique:288:斧乗炎怒（ふじょうえんど）
日,U+65E5,Han,0,1,1,technique:74:日輪の舞
昂,U+6602,Han,1,0,1,species:416:ラセンモン：激昂モード
昇,U+6607,Han,0,1,1,technique:1589:昇竜斬波（しょうりゅうざんぱ）
明,U+660E,Han,0,1,1,technique:87:焔明珠（えんめいしゅ）
春,U+6625,Han,0,1,1,technique:1887:杜子春経（とししゅんきょう）
晦,U+6666,Han,0,1,1,technique:303:晦冥葬
晴,U+6674,Han,0,1,1,technique:781:天晴れ桜
暁,U+6681,Han,0,1,1,technique:75:暁光一閃
暴,U+66B4,Han,0,1,1,technique:1175:暴風車（ぼうふうしゃ）
最,U+6700,Han,0,1,1,technique:2312:最悪の評価
期,U+671F,Han,1,0,1,species:515:ホエーモン（成熟期）
本,U+672C,Han,0,1,1,technique:1545:千本爆砕（せんぼんどっかーん）
札,U+672D,Han,0,1,1,technique:1837:呪禁札（じゅごんさつ）
杜,U+675C,Han,0,1,1,technique:1887:杜子春経（とししゅんきょう）
束,U+675F,Han,0,1,1,technique:405:八束染縛（やつかせんばく）
条,U+6761,Han,0,1,1,technique:1611:怠条真言（たいじょうしんごん）
枚,U+679A,Han,0,1,1,technique:76:ツバメ二枚返し
架,U+67B6,Han,0,1,1,technique:1327:ロート・クロイツ（赤十字架）
染,U+67D3,Han,0,1,1,technique:405:八束染縛（やつかせんばく）
柔,U+67D4,Han,0,1,1,technique:135:柔ノ斬・月時雨（じゅうのざん・つきしぐれ）
梵,U+68B5,Han,0,1,1,technique:1858:梵筆閃（ぼんひつせん）
棍,U+68CD,Han,0,1,1,technique:2487:怒ツ鬼金剛棍
植,U+690D,Han,0,1,1,technique:635:植物性の泡
楔,U+6954,Han,0,1,1,technique:2151:狐葉楔（こようせつ）
業,U+696D,Han,0,1,1,technique:1173:業火弾（ごうかだん）
楽,U+697D,Han,0,1,1,technique:62:光爪神楽（こうそうかぐら）
槍,U+69CD,Han,0,1,1,technique:169:波濤深槍（はとうしんそう）
横,U+6A2A,Han,0,1,1,technique:1819:縦横車（じゅうおうぐるま）
機,U+6A5F,Han,0,1,1,technique:1377:マシンガン・ダンス（機銃の踊り）
檮,U+6AAE,Han,0,1,1,technique:14:凍烈檮牙(とうれつとうが)
此,U+6B64,Han,0,1,1,technique:1000:此ノ花戦姫万象（このはなせんきばんしょう）
殲,U+6BB2,Han,0,1,1,technique:250:毘沙門八極殲陣
毀,U+6BC0,Han,0,1,1,technique:441:豪怨毀永斬（ごうおんきえいざん）
毘,U+6BD8,Han,0,1,1,technique:250:毘沙門八極殲陣
毬,U+6BEC,Han,0,1,1,technique:88:豪狛毬（ごうはくきゅう）
沌,U+6C8C,Han,0,1,1,technique:287:渾沌亜空虚（こんとんあくうきょ）
沙,U+6C99,Han,0,1,1,technique:250:毘沙門八極殲陣
河,U+6CB3,Han,0,1,1,technique:1346:グレッチャートルペイド（氷河魚雷）
泉,U+6CC9,Han,0,1,1,technique:345:黄泉戻（よみもどし）
法,U+6CD5,Han,0,1,1,technique:1171:光電殺法之陣（こうでんさっぽうのじん）
泿,U+6CFF,Han,0,1,1,technique:94:泿水弾（ぎんすいだん）
浪,U+6D6A,Han,0,1,1,technique:191:浪濤扇（ろうとうせん）
涛,U+6D9B,Han,0,1,1,technique:1473:怒涛闇供喪之舞（どとうやみくものまい）
液,U+6DB2,Han,0,1,1,technique:91:粘溶液（ねんようえき）
深,U+6DF1,Han,0,1,1,technique:169:波濤深槍（はとうしんそう）
淵,U+6DF5,Han,0,1,1,technique:114:九淵貪角(きゅうえんどんかく)
清,U+6E05,Han,0,1,1,technique:1806:清々之咆哮（せいせいのほうこう）
